,track_id,artists,album_name,track_name,duration_ms,genre
8121,0uXnFu9BRS1kIKNFi8Z6NJ,Ella Fitzgerald,Home For Christmas 2022,Winter Wonderland,137026,blues
8122,7ckUEDVJ1woYh2NnaHxA8G,Ella Fitzgerald,Classic Christmas Music 2022,Frosty The Snowman,131733,blues
8123,04KeHjz5E58E3CLOhIqWnr,Ella Fitzgerald,Christmas Playlist 2022,Frosty The Snowman,131733,blues
8124,3JibLpqNHuIMfOy3maUWse,Ella Fitzgerald,Pop Fun and Christmas Music 2022,Frosty The Snowman,131733,blues
8125,4Wo8bxRPZD4FVvHld8YEC2,Ella Fitzgerald,pov: you are an christmas elf,Hotta Chocolatta,187026,blues
8126,3ytaJfUjlDmaKo1KqllPXA,Ella Fitzgerald;Louis Armstrong,Christmas Dinner,I've Got My Love To Keep Me Warm,190306,blues
8127,7CTtRVeuLsEYy1NlC16pCk,Ella Fitzgerald,Christmas Best Hits 2022,Rudolph The Red-Nosed Reindeer,171773,blues
8128,2qGomArw2xs9koA5A4FmDu,Ella Fitzgerald,Weihnachtssongs,Frosty The Snowman,131733,blues
8129,1mM1piMRF5wPx4nLMBvWpt,Ella Fitzgerald;Count Basie,Christmas time but not Christmas songs 2022,Dream A Little Dream Of Me,248197,blues
8130,4A22TgVho7f5ZRSDbvzftT,Ella Fitzgerald,Calm Christmas,The Secret Of Christmas,168146,blues
8131,33MBrjaSlb2VXNlpCQiHn7,Ella Fitzgerald,Christmas 2022,Rudolph The Red-Nosed Reindeer,171773,blues
8132,7giEzSsPzYuyCvRgoRijkF,Ella Fitzgerald,12 Days of Christmas 2022,Sleigh Ride,175986,blues
8133,6TBBKYKoB1NDmx08ZIUMRp,Ella Fitzgerald,Pumpkin Patch Hits,"Bewitched, Bothered, And Bewildered - Stereo Version",424317,blues
8134,20yIwdaPIYKT7ZK8dAJw9C,Ella Fitzgerald,pov: you are walking in a winter wonderland,Rudolph The Red-Nosed Reindeer,171773,blues
8135,5RcAGLNN0UbnUjBqDLFkVd,Ella Fitzgerald,Lonely Christmas 2022,The Secret Of Christmas,168146,blues
8136,1IgtHMtJcoGSE5gHqC1diy,Ella Fitzgerald,Weihnachten Playlist,Sleigh Ride,175986,blues
8137,5E3WpecwN7XImHJJK8TcJw,Ella Fitzgerald,pov: you ride on santa's sleigh,White Christmas,181186,blues
8138,0LSY8Ky3xaWkACC6vNQtbz,Ella Fitzgerald;Louis Jordan & His Tympany Five,Best Christmas Songs 2022,Baby It's Cold Outside,163706,blues
8139,55NyDBnlI5MidVGzyPr3OR,Ella Fitzgerald,Christmas 2022,Sleigh Ride,175986,blues
8140,4piK3GzwbnBh684LRIdzVe,Ella Fitzgerald,Beste Weihnachtslieder,Sleigh Ride,175986,blues
8141,2uXsKwL314wMze7QHoSYgK,Ella Fitzgerald,Christmas Playlist 2022,Sleigh Ride,175986,blues
8142,4FcflXjkAiJ2pV02GyIvsG,Ella Fitzgerald,Best Christmas Music 2022,Sleigh Ride,175986,blues
8143,6Flhe63TCr8YT376BWmmKw,Ella Fitzgerald,pov: you rock around the christmas tree,Sleigh Ride,175986,blues
8144,5LlVixZh85sugPldv7Cxeh,Ella Fitzgerald,pov: you are an christmas elf,Sleigh Ride,175986,blues
8145,7nSM5Q806uLYcJvWRCIRg2,Ella Fitzgerald,Weihnachtssongs,Sleigh Ride,175986,blues
8146,4kY9pd1AJwnxdThLArfvUb,Ella Fitzgerald;Louis Armstrong,Christmas Vibes But Not Christmas Songs,Cheek To Cheek,353647,blues
8147,6pLGlx4YsixWd2MFCiueXE,Ella Fitzgerald,Weihnachten Musik,Sleigh Ride,175986,blues
8148,2APCEcZ3XkPzYQ8WhaRtri,Ella Fitzgerald,Holiday Favorites 2022,Rudolph The Red-Nosed Reindeer,171773,blues
8149,6sKbT45i7DJPejP8DNALBQ,Ella Fitzgerald,Anthems for Witches 2022,"Bewitched, Bothered, And Bewildered - Stereo Version",424317,blues
8150,0yqrhHrcWLMjBylHReDN5u,Sam Tinnesz,Babel,Legends Are Made,169758,blues
8151,4sebUbjqbcgDSwG6PbSGI0,Cage The Elephant,Melophobia,Come a Little Closer,229346,blues
